id,judet,total_someri,total_femei,total_barbati,indemnizati,neindemnizati,rata_somaj,rata_somaj_femei,rata_somaj_barbati,total_urban,femei_urban,barbati_urban,total_rural,femei_rural,barbati_rural,fara_studii,invatamant_primar,invatamant_gimnazial,invatamant_liceal,invatamant_post,invatamant_profesional,invatamant_universitar,sub_25,25_29,30_39,40_49,50_55,peste_55,month,year
1056, IASI,9708,4475,5233,2144,7564,3.27,3.21,3.31,2028,1097,931,7680,3378,4302,595,1818,3014,1141,92,2499,549,932,265,1429,2736,1994,2352,1,2021
1057, ILFOV,1466,892,574,996,470,0.71,1.01,0.48,382,237,145,1084,655,429,105,151,249,565,18,195,183,347,148,259,313,215,184,1,2021
1058, MARAMURES,3991,2062,1929,2325,1666,1.98,2.22,1.77,2232,1236,996,1759,826,933,61,638,721,1274,130,762,405,897,279,693,962,713,447,1,2021
1059, MEHEDINTI,6281,2796,3485,1784,4497,6.16,5.89,6.39,1752,915,837,4529,1881,2648,0,1214,2739,1239,103,838,148,556,386,1296,2031,937,1075,1,2021
1060, MURES,6241,2940,3301,4706,10368,1.22,1.33,1.12,1879,1001,878,4362,1939,2423,22,140,2465,5196,299,2765,4187,302,1354,3609,4356,3074,2379,1,2021
1061, NEAMT,9252,4178,5074,2253,3988,2.65,2.8,2.53,1831,1005,826,7421,3173,4248,702,1845,1285,1002,102,893,412,1039,414,1227,1672,906,983,1,2021
1062, OLT,9546,4295,5251,2627,6625,5.08,5.02,5.14,2258,1268,990,7288,3027,4261,916,1270,2736,2118,102,1757,353,1021,386,1458,2585,1890,1912,1,2021
1063, PRAHOVA,8445,4466,3979,2266,7280,5.92,5.8,6.02,3134,1827,1307,5311,2639,2672,1903,749,2958,2182,204,1424,126,1022,344,1353,2703,2062,2062,1,2021
1064, SALAJ,5326,2480,2846,4362,4083,2.9,3.62,2.37,1261,737,524,4065,1743,2322,528,1043,2089,2137,234,1742,672,934,350,1472,2401,1762,1526,1,2021
1065, SATU MARE,5516,2575,2941,1752,3574,5.15,5.47,4.9,1162,608,554,4354,1967,2387,374,1462,1360,1032,95,720,283,851,326,1126,1346,922,755,1,2021
1066, SIBIU,5301,2605,2696,1157,4359,3.77,3.82,3.73,2076,1145,931,3225,1460,1765,632,2151,1560,554,34,439,146,756,373,1218,1591,826,752,1,2021
1067, SUCEAVA,10635,4835,5800,2369,2932,2.7,3.04,2.43,3296,1690,1606,7339,3145,4194,460,1327,1200,938,89,858,429,549,328,1084,1473,896,971,1,2021
1068, TELEORMAN,9267,3902,5365,4799,5836,4.59,4.56,4.62,1961,1008,953,7306,2894,4412,894,1509,2761,2480,212,2250,529,1877,582,1838,2743,1735,1860,1,2021
1069, TIMIS,4497,2516,1981,1889,7378,6.6,5.7,7.46,2221,1321,900,2276,1195,1081,428,1089,4770,1415,117,1345,103,902,448,1517,2512,1983,1905,1,2021
1070, TULCEA,2634,1249,1385,2832,1665,1.28,1.62,1.01,763,434,329,1871,815,1056,492,284,869,1351,104,729,668,462,248,809,1175,929,874,1,2021
1071, VALCEA,5656,2811,2845,996,1638,3.18,3.23,3.14,2016,1127,889,3640,1684,1956,0,416,1061,652,0,411,94,349,176,438,730,549,392,1,2021
1072, VASLUI,9367,4031,5336,2879,2777,3.51,3.89,3.19,1713,971,742,7654,3060,4594,130,550,1494,1684,138,1217,443,772,236,791,1489,1341,1027,1,2021
1073, VRANCEA,5619,2396,3223,1958,7409,7.02,6.23,7.76,1167,584,583,4452,1812,2640,323,1596,3312,1734,86,2185,131,649,299,1409,2989,2142,1879,1,2021
1074,BUCURESTI,15074,8153,6921,1215,4404,4.12,3.76,4.44,15074,8153,6921,0,0,0,337,1460,1978,987,71,622,164,705,322,913,1368,1182,1129,1,2021
1075,Total TARA ,292216,138770,153446,99249,192967,3.34,3.46,3.24,96849,53739,43110,195367,85031,110336,28152,49387,79886,61975,6641,47585,18590,32682,15591,51504,80486,57464,54489,1,2021
1076,ALBA,6881,3289,3592,2796,4085,4.08,4.23,3.96,2454,1333,1121,4427,1956,2471,699,1127,1779,1574,107,1172,423,648,400,1392,1901,1361,1179,2,2021
1077,ARAD,4144,2323,1821,2579,1565,1.96,2.5,1.53,1884,1041,843,2260,1282,978,863,90,1007,1094,66,576,448,403,187,644,1190,962,758,2,2021
1078,ARGES,9986,4978,5008,4384,5602,3.86,4.12,3.63,2406,1486,920,7580,3492,4088,636,1895,2948,2024,139,1805,539,775,524,1828,2894,2228,1737,2,2021
1079,BACAU,12186,5096,7090,3025,9161,5.72,5.45,5.92,3053,1431,1622,9133,3665,5468,1433,3433,984,1716,2131,1970,519,1370,790,2009,2939,2479,2599,2,2021
1080,BIHOR,5880,3308,2572,3314,2566,2.23,2.72,1.81,1998,1253,745,3882,2055,1827,317,1002,1529,1450,95,864,623,648,359,1172,1745,1001,955,2,2021
1081,BISTRITA NASAUD,4566,2364,2202,2478,2088,3.55,4.07,3.13,1575,885,690,2991,1479,1512,449,280,1228,1386,88,877,258,665,256,758,1166,918,803,2,2021
1082,BOTOSANI,4154,1859,2295,1394,2760,3.03,2.84,3.19,1504,756,748,2650,1103,1547,225,1169,1037,766,73,705,179,460,161,570,1146,841,976,2,2021
1083,BRAILA,5391,2263,3128,1267,4124,4.41,4.1,4.67,1522,800,722,3869,1463,2406,818,1294,1780,597,69,641,192,567,228,846,1569,990,1191,2,2021
1084,BRASOV,6493,3039,3454,2006,4487,2.47,2.7,2.3,2450,1325,1125,4043,1714,2329,1078,1323,1572,1062,94,797,567,827,424,1354,1643,1144,1101,2,2021
1085,BUZAU,12033,4837,7196,2257,9776,7.01,6.05,7.85,2164,1049,1115,9869,3788,6081,1700,2519,4038,1562,122,1921,171,1004,487,1933,3471,2513,2625,2,2021
1086,CALARASI,3428,1660,1768,1033,2395,3.75,3.76,3.75,1048,499,549,2380,1161,1219,362,858,1046,599,31,447,85,440,178,697,863,587,663,2,2021
1087,CARAS-SEVERIN,3779,1770,2009,1680,2099,3.55,3.76,3.38,1661,826,835,2118,944,1174,436,514,870,1080,125,510,244,472,178,621,1001,755,752,2,2021
1088,CLUJ,6158,3385,2773,2955,3203,1.65,2.05,1.33,2916,1833,1083,3242,1552,1690,675,808,1356,1375,182,1041,721,698,371,1241,1599,1241,1008,2,2021
1089,CONSTANTA,8485,5004,3481,3979,4506,2.88,3.9,2.09,4271,2844,1427,4214,2160,2054,926,1198,2022,2288,102,1287,662,903,348,1546,2106,1837,1745,2,2021
1090,COVASNA,4220,2076,2144,1127,3093,4.92,5.08,4.78,1276,712,564,2944,1364,1580,506,1473,917,738,43,417,126,787,302,913,1091,602,525,2,2021
1091,DAMBOVITA,5700,2765,2935,1689,4011,2.96,3.36,2.66,1125,622,503,4575,2143,2432,364,1238,1734,1182,101,793,288,762,329,896,1434,1155,1124,2,2021
1092,DOLJ,19037,8146,10891,3176,15861,7.15,6.73,7.5,3207,1812,1395,15830,6334,9496,870,6336,5037,4039,320,2069,366,1795,1045,3267,5429,3817,3684,2,2021
1093,GALATI,11733,4972,6761,2470,9263,6.18,5.79,6.49,2356,1272,1084,9377,3700,5677,1188,2751,4383,1388,108,1486,429,962,441,1733,3538,2538,2521,2,2021
1094,GIURGIU,2150,1139,1011,742,1408,2.67,3.07,2.33,509,303,206,1641,836,805,220,429,763,458,24,189,67,311,106,310,512,441,470,2,2021
1095,GORJ,5166,2295,2871,1988,3178,3.82,3.66,3.96,1624,866,758,3542,1429,2113,0,584,1426,1603,130,1084,339,587,281,774,1386,1191,947,2,2021
1096,HARGHITA,6030,3028,3002,2661,3369,4.46,5.09,3.97,2004,1137,867,4026,1891,2135,777,1951,1100,1071,100,815,216,769,339,1294,1708,1101,819,2,2021
1097,HUNEDOARA,5875,3153,2722,3484,2391,3.42,3.93,2.98,4050,2260,1790,1825,893,932,230,626,1394,1893,156,1015,561,587,320,944,1693,1418,913,2,2021
1098,IALOMITA,4857,2139,2718,1703,3154,5.18,4.94,5.38,1587,816,771,3270,1323,1947,332,960,1678,880,73,841,93,466,192,720,1413,967,1099,2,2021
1099,IASI,9810,4481,5329,2153,7657,3.3,3.21,3.37,2024,1108,916,7786,3373,4413,607,1854,3082,1061,96,2562,548,854,276,1430,2805,2057,2388,2,2021
1100,ILFOV,1382,857,525,943,439,0.67,0.97,0.44,364,230,134,1018,627,391,67,364,227,359,20,172,173,122,53,276,452,311,168,2,2021
1101,MARAMURES,4048,2087,1961,2330,1718,2.01,2.24,1.8,2182,1208,974,1866,879,987,83,421,810,1399,147,800,388,1107,257,676,933,598,477,2,2021
1102,MEHEDINTI,6266,2798,3468,1723,4543,6.14,5.89,6.36,1738,924,814,4528,1874,2654,0,1274,2757,1212,99,782,142,561,399,1292,2012,933,1069,2,2021
1103,MUN.BUC.,15006,8086,6920,4683,10323,1.22,1.32,1.12,1992,1054,938,4450,1986,2464,22,144,2471,5131,311,2758,4169,296,1381,3582,4299,3079,2369,2,2021
1104,MURES,6442,3040,3402,2201,4241,2.73,2.89,2.6,1809,991,818,7288,3062,4226,768,2037,1393,960,95,828,361,1001,401,1315,1772,934,1019,2,2021
1105,NEAMT,9097,4053,5044,2580,6517,5,4.87,5.11,2164,1256,908,7388,3074,4314,786,1260,2870,1984,125,1733,339,1006,376,1411,2506,1889,1909,2,2021
1106,OLT,9552,4330,5222,2404,7148,5.93,5.85,5.99,3123,1819,1304,5394,2631,2763,801,1296,3330,2231,186,1574,134,889,336,1394,2797,2074,2062,2,2021
1107,PRAHOVA,8517,4450,4067,4335,4182,2.93,3.61,2.43,1227,716,511,4040,1712,2328,542,1113,2136,2065,223,1770,668,884,350,1483,2445,2037,1318,2,2021
1108,SALAJ,5267,2428,2839,1671,3596,5.09,5.36,4.89,1134,596,538,4264,1928,2336,392,1523,1384,938,95,689,246,805,312,1133,1350,915,752,2,2021
1109,SATU M.,5398,2524,2874,1155,4243,3.69,3.74,3.64,2029,1127,902,3201,1400,1801,649,2104,1508,537,32,423,145,723,358,1192,1574,811,740,2,2021
1110,SIBIU,5230,2527,2703,2359,2871,2.66,2.95,2.44,3332,1684,1648,7764,3245,4519,461,1315,1220,908,91,812,423,508,320,1058,1474,893,977,2,2021
1111,SUCEAVA,11096,4929,6167,5107,5989,4.79,4.65,4.91,1962,996,966,7357,2872,4485,921,1631,3128,2447,197,2260,512,1833,615,1961,2944,1806,1937,2,2021
1112,TELEORMAN,9319,3868,5451,1827,7492,6.64,5.65,7.58,2198,1286,912,2204,1137,1067,574,1141,4602,1512,105,1271,114,891,472,1518,2522,2028,1888,2,2021
1113,TIMIS,4402,2423,1979,2648,1754,1.26,1.56,1.01,775,428,347,2004,879,1125,696,238,805,1273,99,678,613,515,263,775,1122,905,822,2,2021
1114,TULCEA,2779,1307,1472,1021,1758,3.36,3.38,3.34,2246,1258,988,3807,1756,2051,0,663,869,723,0,441,83,389,127,431,846,667,319,2,2021
1115,VALCEA,6053,3014,3039,2949,3104,3.75,4.17,3.41,1728,958,770,7944,3113,4831,203,547,1711,1817,142,1228,405,657,281,922,1729,1466,998,2,2021
1116,VASLUI,9672,4071,5601,2005,7667,7.24,6.29,8.14,1190,600,590,4603,1872,2731,382,2230,3631,1730,78,1501,120,600,309,1432,3085,2213,2033,2,2021
1117,VRANCEA,5793,2472,3321,1266,4527,4.25,3.87,4.57,15006,8086,6920,0,0,0,350,1561,1995,992,72,656,167,673,286,950,1501,1204,1179,2,2021
1118,Total,293461,138633,154828,99547,193914,3.35,3.46,3.27,96867,53486,43381,196594,85147,111447,23408,56574,81557,61104,6692,46260,17866,31220,15418,51693,81605,58907,54618,2,2021
