id,judet,total_someri,total_femei,total_barbati,indemnizati,neindemnizati,rata_somaj,rata_somaj_femei,rata_somaj_barbati,total_urban,femei_urban,barbati_urban,total_rural,femei_rural,barbati_rural,fara_studii,invatamant_primar,invatamant_gimnazial,invatamant_liceal,invatamant_post,invatamant_profesional,invatamant_universitar,sub_25,25_29,30_39,40_49,50_55,peste_55,month,year
1033, ALBA,6736,3182,3554,2816,3920,4,4.1,3.91,2421,1294,1127,4315,1888,2427,795,896,1733,1574,113,1194,431,645,394,1363,1844,1315,1175,1,2021
1034, ARAD,4077,2314,1763,2618,1459,1.92,2.49,1.48,1887,1032,855,2190,1282,908,326,554,937,1125,75,588,472,437,192,654,1165,926,703,1,2021
1035, ARGES,9843,4901,4942,4269,5574,3.8,4.06,3.58,2310,1422,888,7533,3479,4054,654,1866,2944,1961,139,1752,527,752,516,1829,2849,2170,1727,1,2021
1036, BACAU,12021,5063,6958,3191,8830,5.64,5.41,5.81,3085,1424,1661,8936,3639,5297,1433,3457,1025,1658,1939,2011,498,1450,831,2037,2938,2291,2474,1,2021
1037, BIHOR,5822,3354,2468,3459,2363,2.2,2.75,1.73,2027,1293,734,3795,2061,1734,288,995,1461,1458,100,881,639,635,349,1193,1739,968,938,1,2021
1038, BISTRITA-NASAUD,4368,2277,2091,2543,1825,3.4,3.92,2.97,1523,885,638,2845,1392,1453,174,240,1363,1404,92,815,280,681,253,747,1114,834,739,1,2021
1039, BOTOSANI,4108,1860,2248,1397,2711,2.99,2.84,3.13,1481,760,721,2627,1100,1527,218,1150,1029,757,67,710,177,483,148,558,1118,826,975,1,2021
1040, BRAILA,5389,2268,3121,1172,4217,4.41,4.11,4.66,1454,799,655,3935,1469,2466,868,1307,1754,601,64,608,187,615,240,861,1539,949,1185,1,2021
1041, BRASOV,6608,3112,3496,2122,4486,2.52,2.76,2.33,2619,1420,1199,3989,1692,2297,1375,1202,1488,1092,94,788,569,822,433,1406,1669,1174,1104,1,2021
1042, BUZAU,13102,5290,7812,2527,10575,7.63,6.61,8.52,2574,1267,1307,10528,4023,6505,2505,2434,4153,1692,136,1995,187,1220,560,2144,3680,2653,2845,1,2021
1043, CALARASI,3610,1742,1868,1020,2590,3.95,3.95,3.96,825,458,367,2785,1284,1501,362,973,996,577,35,508,159,446,167,682,935,692,688,1,2021
1044, CARAS-SEVERIN,3547,1677,1870,1614,1933,3.33,3.56,3.15,1519,766,753,2028,911,1117,581,348,755,1009,139,477,238,444,170,594,937,697,705,1,2021
1045, CLUJ,6407,3510,2897,3027,3380,1.72,2.13,1.39,3285,2113,1172,3122,1397,1725,812,597,1403,1405,209,1153,828,714,390,1214,1700,1415,974,1,2021
1046, CONSTANTA,8330,4935,3395,3878,4452,2.83,3.85,2.04,4195,2810,1385,4135,2125,2010,833,1213,1941,2328,118,1243,654,908,344,1342,2240,1792,1704,1,2021
1047, COVASNA,4303,2095,2208,1146,3157,5.02,5.12,4.92,1324,729,595,2979,1366,1613,514,1474,905,792,45,440,133,870,305,910,1083,583,552,1,2021
1048, DAMBOVITA,5775,2826,2949,1702,4073,3,3.44,2.67,1149,608,541,4626,2218,2408,536,502,1847,1445,114,986,345,800,290,961,1439,1112,1173,1,2021
1049, DOLJ,18848,8120,10728,3176,15672,7.08,6.71,7.39,3176,1830,1346,15672,6290,9382,3362,3842,4915,4021,345,1971,392,1812,991,3216,5378,3787,3664,1,2021
1050, GALATI,11856,5033,6823,2432,9424,6.24,5.87,6.55,2394,1312,1082,9462,3721,5741,1228,2455,4530,1458,121,1564,500,1039,435,1719,3565,2550,2548,1,2021
1051, GIURGIU,2062,1097,965,765,1297,2.56,2.96,2.23,511,308,203,1551,789,762,239,288,767,498,21,174,75,295,102,312,488,438,427,1,2021
1052, GORJ,5121,2324,2797,2052,3069,3.79,3.71,3.86,1624,891,733,3497,1433,2064,0,616,1338,1645,152,1016,354,602,299,784,1351,1154,931,1,2021
1053, HARGHITA,6303,3239,3064,2826,3477,4.67,5.44,4.05,2115,1218,897,4188,2021,2167,1467,783,1207,1330,107,1106,303,1013,329,1300,1719,1108,834,1,2021
1054, HUNEDOARA,5426,2783,2643,2585,2841,3.16,3.47,2.89,3600,1927,1673,1826,856,970,407,374,1253,1600,113,1151,528,565,397,1024,1480,1048,912,1,2021
1055, IALOMITA,4732,2111,2621,1603,3129,5.04,4.88,5.19,1545,809,736,3187,1302,1885,273,1109,1521,864,73,803,89,512,192,715,1341,924,1048,1,2021
