id,judet,total_someri,total_femei,total_barbati,indemnizati,neindemnizati,rata_somaj,rata_somaj_femei,rata_somaj_barbati,total_urban,femei_urban,barbati_urban,total_rural,femei_rural,barbati_rural,fara_studii,invatamant_primar,invatamant_gimnazial,invatamant_liceal,invatamant_post,invatamant_profesional,invatamant_universitar,sub_25,25_29,30_39,40_49,50_55,peste_55,month,year
603, ALBA,5190,2360,2830,2001,3189,3.09,3.05,3.12,1916,966,950,3274,1394,1880,596,671,1544,1099,53,918,309,421,304,1041,1491,1000,933,3,2020
604, ARAD,2234,1153,1081,911,1323,1.04,1.2,0.91,872,464,408,1362,689,673,331,291,598,440,41,309,224,221,120,307,639,460,487,3,2020
605, ARGES,8096,3925,4171,2608,5488,3.12,3.2,3.05,1544,921,623,6552,3004,3548,659,1844,2618,1269,109,1208,389,567,422,1611,2353,1646,1497,3,2020
606, BACAU,10983,4520,6463,1821,9162,5.18,4.96,5.35,2669,897,1772,8314,3623,4691,1745,557,3771,2752,106,1766,286,915,652,2140,2149,2429,2698,3,2020
607, BIHOR,4155,2386,1769,2138,2017,1.56,1.97,1.23,1423,894,529,2732,1492,1240,272,788,923,1035,84,602,451,303,216,844,1240,829,723,3,2020
608, BISTRITA NASAUD,3216,1593,1623,1452,1764,2.49,2.79,2.25,1080,621,459,2136,972,1164,177,259,984,918,64,635,179,406,158,620,779,641,612,3,2020
609, BOTOSANI,3132,1390,1742,779,2353,2.3,2.12,2.46,1122,587,535,2010,803,1207,170,1070,774,507,51,485,75,199,100,461,925,633,814,3,2020
610, BRAILA,4301,1793,2508,664,3637,3.5,3.24,3.71,1139,582,557,3162,1211,1951,724,1068,1495,365,58,452,139,374,196,733,1245,711,1042,3,2020
611, BRASOV,5113,2330,2783,1028,4085,1.95,2.11,1.82,1531,841,690,3582,1489,2093,981,1228,1297,667,51,532,357,522,313,1124,1318,907,929,3,2020
612, BUZAU,10990,4433,6557,1234,9756,6.4,5.56,7.13,1881,927,954,9109,3506,5603,2217,2350,3662,1087,66,1491,117,663,450,1858,3323,2134,2562,3,2020
613, CALARASI,3012,1477,1535,439,2573,3.32,3.33,3.3,689,354,335,2323,1123,1200,350,809,1002,400,30,361,60,267,112,647,820,533,633,3,2020
614, CARAS-SEVERIN,3236,1466,1770,1023,2213,3.03,3.16,2.93,1401,656,745,1835,810,1025,573,425,680,863,60,431,204,311,163,528,912,630,692,3,2020
615, CLUJ,4479,2381,2098,1629,2850,1.22,1.48,1.02,1935,1198,737,2544,1183,1361,677,481,1066,944,113,764,434,417,269,881,1274,897,741,3,2020
616, CONSTANTA,6763,4247,2516,3289,3474,2.31,3.38,1.51,3433,2468,965,3330,1779,1551,868,538,1806,1911,92,1089,459,479,272,1142,1874,1462,1534,3,2020
617, COVASNA,2680,1195,1485,477,2203,3.14,3.03,3.24,738,376,362,1942,819,1123,435,1006,615,292,31,249,52,431,195,576,727,352,399,3,2020
618, DAMBOVITA,6207,2937,3270,893,5314,3.23,3.59,2.96,1040,545,495,5167,2392,2775,631,924,1954,1308,116,938,336,655,393,1052,1570,1156,1381,3,2020
619, DOLJ,17131,7145,9986,1992,15139,6.44,6.02,6.77,2478,1297,1181,14653,5848,8805,827,5795,4802,3399,120,1790,398,1398,861,2962,4960,3399,3551,3,2020
620, GALATI,10247,4367,5880,1464,8783,5.39,5.03,5.69,1861,1018,843,8386,3349,5037,1072,2001,4171,1099,107,1446,351,590,347,1463,3196,2253,2398,3,2020
621, GIURGIU,1640,873,767,386,1254,2.02,2.3,1.77,368,229,139,1272,644,628,232,285,618,305,18,129,53,203,51,258,392,349,387,3,2020
622, GORJ,4314,2096,2218,1522,2792,3.18,3.4,2.99,1290,754,536,3024,1342,1682,269,278,1298,1184,129,839,317,325,160,726,1229,861,1013,3,2020
623, HARGHITA,4843,2167,2676,1222,3621,3.6,3.65,3.55,1396,710,686,3447,1457,1990,1268,1195,963,647,71,528,171,649,311,1151,1282,723,727,3,2020
624, HUNEDOARA,5822,3159,2663,2832,2990,3.38,3.85,2.96,3919,2224,1695,1903,935,968,449,463,1594,1700,88,1032,496,444,360,964,1871,1305,878,3,2020
625, IALOMITA,3996,1795,2201,878,3118,4.27,4.18,4.35,1198,627,571,2798,1168,1630,284,1002,1389,595,28,623,75,300,157,696,1122,788,933,3,2020
626, IASI,7613,3381,4232,876,6737,2.57,2.48,2.65,1107,592,515,6506,2789,3717,548,1533,2648,529,51,2010,294,585,188,1062,2122,1554,2102,3,2020
627, ILFOV,738,418,320,309,429,0.37,0.48,0.28,216,127,89,522,291,231,93,222,142,136,8,60,77,99,30,134,232,125,118,3,2020
628, MARAMURES,4530,2204,2326,1336,3194,2.26,2.39,2.14,2309,1247,1062,2221,957,1264,129,1351,847,1087,117,709,290,702,327,896,1248,773,584,3,2020
629, MEHEDINTI,6923,2911,4012,1170,5753,6.68,5.97,7.31,1546,772,774,5377,2139,3238,0,1474,3285,1151,42,875,96,475,224,1586,2427,1015,1196,3,2020
630, MURES,14996,7908,7088,1885,13111,1.26,1.34,1.19,1176,611,565,4918,2073,2845,22,142,2625,5069,294,2674,4170,176,1189,3693,4473,2949,2516,3,2020
631, NEAMT,6094,2684,3410,1080,5014,2.59,2.59,2.59,1411,747,664,6089,2557,3532,1036,2194,1458,546,69,623,168,883,425,1377,1577,924,908,3,2020
632, OLT,7500,3304,4196,1692,5808,4.13,4,4.25,1792,978,814,6526,2627,3899,902,1157,2314,1003,79,1794,251,632,307,1273,2142,1547,1599,3,2020
633, PRAHOVA,8318,3605,4713,1393,6925,5.14,4.85,5.39,2324,1301,1023,4332,2026,2306,1841,712,2758,1493,62,1353,99,609,304,1209,2490,1800,1906,3,2020
634, SALAJ,6656,3327,3329,2486,4170,2.27,2.69,1.97,800,458,342,3426,1339,2087,568,1151,1815,1303,107,1307,405,504,235,1145,2054,1500,1218,3,2020
635, Satu M.,4226,1797,2429,874,3352,4.12,4.01,4.21,770,415,355,3064,1313,1751,311,1153,1185,858,60,515,144,517,304,946,1079,723,657,3,2020
636, SIBIU,3834,1728,2106,583,3251,2.62,2.58,2.65,1219,638,581,2469,1070,1399,578,1427,1100,342,27,276,84,439,245,922,1103,576,549,3,2020
637, SUCEAVA,3688,1708,1980,1123,2565,1.88,1.97,1.81,2781,1356,1425,7608,3171,4437,394,1073,859,588,51,472,251,434,253,685,1000,613,703,3,2020
638, TELEORMAN,10389,4527,5862,3047,7342,4.49,4.3,4.64,2160,1101,1059,7144,2863,4281,565,2306,2904,1960,169,2162,323,1326,667,2010,2898,1626,1862,3,2020
639, TIMIS,9304,3964,5340,1493,7811,6.48,5.64,7.29,1176,668,508,1273,643,630,434,1103,5118,1151,35,1373,90,714,472,1650,2587,1922,1959,3,2020
640, TULCEA,2449,1311,1138,1320,1129,0.7,0.86,0.57,829,480,349,1971,925,1046,338,139,479,589,41,501,362,206,82,497,751,498,415,3,2020
641, VALCEA,2800,1405,1395,803,1997,3.41,3.68,3.17,1566,904,662,3025,1411,1614,0,439,1279,602,0,422,58,313,222,461,775,586,443,3,2020
642, VASLUI,4591,2315,2276,1821,2770,2.88,3.28,2.56,1314,698,616,8286,3216,5070,125,502,1393,1234,139,881,317,327,201,788,1360,1080,835,3,2020
643, VRANCEA,9600,3914,5686,1069,8531,7.13,6.11,8.05,968,491,477,3885,1574,2311,405,1841,3736,752,53,2772,41,336,249,1380,3267,2043,2325,3,2020
644,BUCURESTI,4853,2065,2788,758,4095,3.57,3.28,3.82,14996,7908,7088,0,0,0,311,1279,1817,724,63,538,121,397,240,795,1326,987,1108,3,2020
645,Total TARA ,250882,115664,135218,57800,193082,2.88,2.92,2.86,77383,41648,35735,173499,74016,99483,24407,46526,77386,45903,3153,39934,13573,20734,12746,46294,71602,48939,50567,3,2020
646, ALBA,4968,2356,2612,2327,2641,2.95,3.04,2.88,1946,1024,922,3022,1332,1690,186,863,1415,1137,87,962,318,306,302,1022,1424,972,942,4,2020
647, ARAD,2478,1344,1134,1365,1113,1.16,1.4,0.96,1090,620,470,1388,724,664,297,264,613,605,57,354,288,215,144,404,713,531,471,4,2020
648, ARGES,8079,4053,4026,3462,4617,3.11,3.3,2.94,1933,1178,755,6146,2875,3271,532,1540,2478,1559,122,1380,468,508,445,1600,2379,1703,1444,4,2020
649, BACAU,10857,4588,6269,2417,8440,5.12,5.03,5.19,2629,912,1717,8228,3676,4552,1701,739,3403,2708,103,1840,363,843,576,1767,2891,2283,2497,4,2020
650, BIHOR,4316,2556,1760,2820,1496,1.63,2.11,1.22,1644,1033,611,2672,1523,1149,215,621,993,1157,90,721,519,284,257,939,1384,827,625,4,2020
651, BISTRITA NASAUD,3295,1723,1572,1738,1557,2.55,3.02,2.18,1247,769,478,2048,954,1094,171,224,1018,1014,62,611,195,332,169,662,834,673,625,4,2020
652, BOTOSANI,3156,1462,1694,916,2240,2.31,2.23,2.4,1209,644,565,1947,818,1129,180,1025,766,557,52,467,109,179,123,488,921,632,813,4,2020
653, BRAILA,4475,1929,2546,804,3671,3.64,3.48,3.77,1291,696,595,3184,1233,1951,741,1080,1526,419,59,485,165,380,195,781,1288,750,1081,4,2020
654, BRASOV,5477,2525,2952,1528,3949,2.08,2.29,1.94,1898,1046,852,3579,1479,2100,979,1181,1311,844,76,637,449,499,342,1208,1448,995,985,4,2020
655, BUZAU,11242,4578,6664,1628,9614,6.55,5.74,7.25,2059,1045,1014,9183,3533,5650,2221,2328,3712,1161,70,1606,144,660,444,1944,3388,2195,2611,4,2020
656, CALARASI,2829,1401,1428,635,2194,3.12,3.16,3.07,743,380,363,2086,1021,1065,326,684,910,432,30,383,64,254,111,604,759,516,585,4,2020
657, CARAS-SEVERIN,2984,1372,1612,1283,1701,2.79,2.96,2.67,1459,690,769,1525,682,843,463,317,558,881,59,467,239,289,160,523,843,594,575,4,2020
658, CLUJ,4786,2600,2186,2104,2682,1.31,1.61,1.07,2218,1395,823,2568,1205,1363,628,427,1088,1250,116,796,481,385,277,1049,1441,909,725,4,2020
659, CONSTANTA,6458,4007,2451,3387,3071,2.21,3.19,1.47,3425,2406,1019,3033,1601,1432,763,443,1725,1810,89,1119,509,418,282,1141,1802,1397,1418,4,2020
660, COVASNA,2880,1329,1551,604,2276,3.37,3.36,3.38,866,451,415,2014,878,1136,478,1042,644,353,36,275,52,434,209,629,804,384,420,4,2020
661, DAMBOVITA,6035,2852,3183,1010,5025,3.14,3.49,2.88,1053,537,516,4982,2315,2667,614,833,1913,1289,99,955,332,494,312,1103,1541,1208,1377,4,2020
662, DOLJ,18140,7876,10264,2996,15144,6.82,6.64,6.96,3199,1826,1373,14941,6050,8891,840,5950,4864,3737,159,2080,510,1621,1061,3620,5427,3513,2898,4,2020
663, GALATI,10350,4501,5849,1837,8513,5.44,5.19,5.66,2021,1162,859,8329,3339,4990,1050,1945,4152,1185,103,1555,360,568,352,1530,3267,2293,2340,4,2020
664, GIURGIU,1763,959,804,555,1208,2.17,2.53,1.85,451,287,164,1312,672,640,233,286,638,376,20,148,62,208,59,292,450,368,386,4,2020
665, GORJ,4069,2040,2029,1810,2259,3,3.31,2.74,1318,798,520,2751,1242,1509,223,222,1125,1231,117,798,353,270,166,743,1165,818,907,4,2020
666, HARGHITA,5087,2370,2717,1570,3517,3.78,4,3.6,1549,823,726,3538,1547,1991,1242,1173,1006,794,77,606,189,615,345,1219,1383,778,747,4,2020
667, HUNEDOARA,6220,3450,2770,3379,2841,3.61,4.2,3.07,4368,2510,1858,1852,940,912,305,476,1594,1935,101,1254,555,578,543,1197,1682,1310,910,4,2020
668, IALOMITA,3782,1756,2026,1018,2764,4.04,4.09,4,1182,649,533,2600,1107,1493,241,920,1267,642,36,611,65,289,158,660,1097,740,838,4,2020
669, IASI,7909,3558,4351,1145,6764,2.67,2.61,2.72,1312,715,597,6597,2843,3754,552,1539,2674,636,69,2095,344,570,208,1129,2217,1660,2125,4,2020
670, ILFOV,657,387,270,325,332,0.33,0.45,0.24,216,127,89,441,260,181,77,194,124,128,8,64,62,75,27,126,203,117,109,4,2020
671, MARAMURES,4216,2045,2171,1354,2862,2.1,2.22,2,2246,1149,1097,1970,896,1074,74,1263,788,979,108,722,282,572,276,924,1066,740,638,4,2020
672, MEHEDINTI,6069,2676,3393,1405,4664,5.85,5.48,6.18,1449,754,695,4620,1922,2698,0,1212,2725,1150,47,819,116,451,284,1340,2102,918,974,4,2020
673, MURES,15186,8030,7156,3027,12159,1.28,1.36,1.2,1339,734,605,4443,1911,2532,21,146,2574,5264,304,2733,4144,184,1408,3621,4479,3019,2475,4,2020
