id,judet,total_someri,total_femei,total_barbati,indemnizati,neindemnizati,rata_somaj,rata_somaj_femei,rata_somaj_barbati,total_urban,femei_urban,barbati_urban,total_rural,femei_rural,barbati_rural,fara_studii,invatamant_primar,invatamant_gimnazial,invatamant_liceal,invatamant_post,invatamant_profesional,invatamant_universitar,sub_25,25_29,30_39,40_49,50_55,peste_55,month,year
314, CLUJ,4649.00,2422.00,2227.00,1204.00,3445.00,2.82,2.81,2.83,2069.00,1251.00,818.00,2580.00,1171.00,1409.00,934.00,569.00,1018.00,939.00,98.00,676.00,415.00,641.00,259.00,881.00,1195.00,846.00,827.00,8.00,2019.00
315, CONSTANTA,5552.00,2879.00,2673.00,1273.00,4279.00,2.82,2.81,2.83,2668.00,1530.00,1138.00,2884.00,1349.00,1535.00,1016.00,746.00,1342.00,1545.00,43.00,488.00,372.00,1081.00,233.00,895.00,1354.00,904.00,1085.00,8.00,2019.00
316, COVASNA,2738.00,1284.00,1454.00,371.00,2367.00,2.82,2.81,2.83,871.00,459.00,412.00,1867.00,825.00,1042.00,438.00,949.00,538.00,572.00,27.00,163.00,51.00,686.00,181.00,510.00,618.00,333.00,410.00,8.00,2019.00
317, DAMBOVITA,6810.00,3252.00,3558.00,842.00,5968.00,2.82,2.81,2.83,1101.00,590.00,511.00,5709.00,2662.00,3047.00,671.00,1211.00,1997.00,1854.00,47.00,803.00,227.00,1456.00,270.00,915.00,1513.00,1154.00,1502.00,8.00,2019.00
318, DOLJ,18238.00,7585.00,10653.00,1664.00,16574.00,2.82,2.81,2.83,2626.00,1387.00,1239.00,15612.00,6198.00,9414.00,853.00,5972.00,5062.00,4058.00,82.00,1837.00,374.00,1802.00,918.00,3115.00,5388.00,3395.00,3620.00,8.00,2019.00
319, GALATI,11127.00,4904.00,6223.00,1156.00,9971.00,2.82,2.81,2.83,2109.00,1185.00,924.00,9018.00,3719.00,5299.00,1428.00,2111.00,4378.00,1428.00,100.00,1372.00,310.00,1318.00,350.00,1560.00,3285.00,2125.00,2489.00,8.00,2019.00
320, GIURGIU,1855.00,1049.00,806.00,325.00,1530.00,2.82,2.81,2.83,523.00,314.00,209.00,1332.00,735.00,597.00,235.00,246.00,558.00,619.00,7.00,120.00,70.00,454.00,79.00,249.00,355.00,314.00,404.00,8.00,2019.00
321, GORJ,4778.00,2293.00,2485.00,1216.00,3562.00,2.82,2.81,2.83,1477.00,815.00,662.00,3301.00,1478.00,1823.00,297.00,292.00,1322.00,1602.00,99.00,849.00,317.00,777.00,162.00,725.00,1215.00,796.00,1103.00,8.00,2019.00
322, HARGHITA,5051.00,2281.00,2770.00,945.00,4106.00,2.82,2.81,2.83,1534.00,787.00,747.00,3517.00,1494.00,2023.00,1195.00,1232.00,913.00,1024.00,48.00,472.00,167.00,1038.00,296.00,1037.00,1254.00,685.00,741.00,8.00,2019.00
323, HUNEDOARA,5787.00,2985.00,2802.00,2392.00,3395.00,2.82,2.81,2.83,3879.00,2048.00,1831.00,1908.00,937.00,971.00,514.00,508.00,1568.00,1418.00,118.00,1132.00,529.00,881.00,301.00,1117.00,1613.00,944.00,931.00,8.00,2019.00
324, IALOMITA,4506.00,2093.00,2413.00,686.00,3820.00,2.82,2.81,2.83,1396.00,706.00,690.00,3110.00,1387.00,1723.00,398.00,1081.00,1496.00,758.00,35.00,669.00,69.00,486.00,179.00,760.00,1274.00,803.00,1004.00,8.00,2019.00
325, IASI,8387.00,3756.00,4631.00,831.00,7556.00,2.82,2.81,2.83,1307.00,697.00,610.00,7080.00,3059.00,4021.00,630.00,1641.00,2850.00,1050.00,45.00,1875.00,296.00,926.00,205.00,1179.00,2272.00,1641.00,2164.00,8.00,2019.00
326, ILFOV,874.00,481.00,393.00,293.00,581.00,2.82,2.81,2.83,212.00,119.00,93.00,662.00,362.00,300.00,109.00,265.00,142.00,217.00,6.00,63.00,72.00,165.00,35.00,158.00,248.00,119.00,149.00,8.00,2019.00
327, MARAMURES,6440.00,3275.00,3165.00,1106.00,5334.00,2.82,2.81,2.83,3258.00,1730.00,1528.00,3182.00,1545.00,1637.00,150.00,2860.00,988.00,1436.00,79.00,630.00,297.00,1857.00,305.00,1047.00,1513.00,914.00,804.00,8.00,2019.00
328, MEHEDINTI,6532.00,2709.00,3823.00,876.00,5656.00,2.82,2.81,2.83,1395.00,669.00,726.00,5137.00,2040.00,3097.00,0.00,1455.00,3165.00,997.00,25.00,809.00,81.00,353.00,150.00,1537.00,2375.00,964.00,1153.00,8.00,2019.00
329, MURES,15502.00,8306.00,7196.00,1983.00,13519.00,2.82,2.81,2.83,1131.00,619.00,512.00,4786.00,2029.00,2757.00,26.00,132.00,2632.00,5341.00,291.00,2764.00,4316.00,285.00,1225.00,3760.00,4633.00,2928.00,2671.00,8.00,2019.00
330, NEAMT,5917.00,2648.00,3269.00,822.00,5095.00,2.82,2.81,2.83,1350.00,698.00,652.00,6429.00,2757.00,3672.00,1057.00,2126.00,1354.00,639.00,51.00,523.00,167.00,1026.00,360.00,1354.00,1493.00,834.00,850.00,8.00,2019.00
331, OLT,7779.00,3455.00,4324.00,1142.00,6637.00,2.82,2.81,2.83,1796.00,922.00,874.00,6950.00,2830.00,4120.00,1117.00,1192.00,2353.00,1031.00,78.00,1673.00,335.00,1145.00,357.00,1237.00,2116.00,1358.00,1566.00,8.00,2019.00
332, PRAHOVA,8746.00,3752.00,4994.00,856.00,7890.00,2.82,2.81,2.83,2107.00,1148.00,959.00,4317.00,2019.00,2298.00,1794.00,802.00,2932.00,1785.00,46.00,1318.00,69.00,977.00,331.00,1280.00,2513.00,1677.00,1968.00,8.00,2019.00
333, SALAJ,6424.00,3167.00,3257.00,1993.00,4431.00,2.82,2.81,2.83,964.00,523.00,441.00,3485.00,1384.00,2101.00,627.00,1214.00,1780.00,1296.00,72.00,1030.00,405.00,777.00,247.00,1038.00,1885.00,1119.00,1358.00,8.00,2019.00
334, SATU MARE,4449.00,1907.00,2542.00,657.00,3792.00,2.82,2.81,2.83,643.00,334.00,309.00,2714.00,1184.00,1530.00,605.00,1264.00,1059.00,831.00,32.00,466.00,192.00,887.00,283.00,918.00,1049.00,658.00,654.00,8.00,2019.00
335, SIBIU,3357.00,1518.00,1839.00,365.00,2992.00,2.82,2.81,2.83,1077.00,551.00,526.00,2169.00,1014.00,1155.00,376.00,1613.00,875.00,225.00,11.00,172.00,85.00,450.00,207.00,819.00,934.00,451.00,496.00,8.00,2019.00
336, SUCEAVA,3246.00,1565.00,1681.00,867.00,2379.00,2.82,2.81,2.83,3234.00,1638.00,1596.00,8362.00,3560.00,4802.00,423.00,847.00,803.00,461.00,29.00,358.00,325.00,428.00,168.00,597.00,860.00,548.00,645.00,8.00,2019.00
337, TELEORMAN,11596.00,5198.00,6398.00,2387.00,9209.00,2.82,2.81,2.83,2209.00,1081.00,1128.00,7561.00,3030.00,4531.00,684.00,2138.00,2950.00,2952.00,182.00,1877.00,813.00,2876.00,667.00,1921.00,2791.00,1517.00,1824.00,8.00,2019.00
338, TIMIS,9770.00,4111.00,5659.00,1089.00,8681.00,2.82,2.81,2.83,1436.00,829.00,607.00,1508.00,806.00,702.00,424.00,1210.00,5324.00,1372.00,36.00,1300.00,104.00,1053.00,490.00,1569.00,2608.00,1932.00,2118.00,8.00,2019.00
339, TULCEA,2944.00,1635.00,1309.00,1597.00,1347.00,2.82,2.81,2.83,649.00,381.00,268.00,1885.00,900.00,985.00,386.00,168.00,647.00,801.00,41.00,506.00,395.00,427.00,136.00,496.00,818.00,533.00,534.00,8.00,2019.00
340, VALCEA,2534.00,1281.00,1253.00,646.00,1888.00,2.82,2.81,2.83,1896.00,984.00,912.00,3271.00,1502.00,1769.00,0.00,734.00,863.00,554.00,0.00,325.00,58.00,698.00,121.00,410.00,595.00,433.00,277.00,8.00,2019.00
341, VASLUI,5167.00,2486.00,2681.00,1520.00,3647.00,2.82,2.81,2.83,1188.00,592.00,596.00,9272.00,3629.00,5643.00,251.00,480.00,1296.00,1732.00,83.00,989.00,336.00,996.00,237.00,821.00,1358.00,999.00,756.00,8.00,2019.00
342, VRANCEA,10460.00,4221.00,6239.00,777.00,9683.00,2.82,2.81,2.83,1090.00,557.00,533.00,4258.00,1829.00,2429.00,430.00,2050.00,3966.00,994.00,46.00,2899.00,75.00,615.00,306.00,1703.00,3528.00,2071.00,2237.00,8.00,2019.00
343,BUCURESTI,5348.00,2386.00,2962.00,732.00,4616.00,2.82,2.81,2.83,15502.00,8306.00,7196.00,0.00,0.00,0.00,0.00,1924.00,1727.00,1018.00,44.00,494.00,141.00,933.00,247.00,789.00,1286.00,839.00,1254.00,8.00,2019.00
344,Total TARA ,262044.00,120363.00,141681.00,44492.00,217552.00,2.82,2.81,2.83,80125.00,42243.00,37882.00,181919.00,78120.00,103799.00,26246.00,51347.00,77235.00,52459.00,2479.00,36242.00,16036.00,36713.00,12451.00,45419.00,70991.00,45150.00,51320.00,8.00,2019.00
345, ALBA,4875.00,2280.00,2595.00,1357.00,3518.00,2.90,2.94,2.86,1764.00,950.00,814.00,3111.00,1330.00,1781.00,594.00,688.00,1462.00,1010.00,48.00,799.00,274.00,708.00,281.00,950.00,1265.00,811.00,860.00,9.00,2019.00
346, ARAD,3255.00,1700.00,1555.00,683.00,2572.00,2.90,2.94,2.86,1436.00,770.00,666.00,1819.00,930.00,889.00,348.00,535.00,530.00,1347.00,26.00,264.00,205.00,1320.00,119.00,305.00,572.00,431.00,508.00,9.00,2019.00
347, ARGES,7750.00,3642.00,4108.00,1786.00,5964.00,2.90,2.94,2.86,1343.00,742.00,601.00,6407.00,2900.00,3507.00,695.00,1803.00,2349.00,1366.00,97.00,1104.00,336.00,992.00,400.00,1398.00,2061.00,1441.00,1458.00,9.00,2019.00
348, BACAU,10945.00,4510.00,6435.00,1552.00,9393.00,2.90,2.94,2.86,2498.00,950.00,1548.00,8447.00,3560.00,4887.00,1648.00,1172.00,3766.00,1157.00,65.00,1181.00,1956.00,1421.00,584.00,1521.00,2767.00,2033.00,2619.00,9.00,2019.00
349, BIHOR,3441.00,1822.00,1619.00,1397.00,2044.00,2.90,2.94,2.86,1141.00,664.00,477.00,2300.00,1158.00,1142.00,184.00,643.00,620.00,1067.00,66.00,428.00,433.00,574.00,174.00,570.00,877.00,634.00,612.00,9.00,2019.00
350, BISTRITA-NASAUD,3274.00,1759.00,1515.00,1257.00,2017.00,2.90,2.94,2.86,1060.00,621.00,439.00,2214.00,1138.00,1076.00,162.00,278.00,963.00,985.00,64.00,600.00,222.00,521.00,188.00,537.00,814.00,601.00,613.00,9.00,2019.00
351, BOTOSANI,3726.00,1711.00,2015.00,757.00,2969.00,2.90,2.94,2.86,1275.00,637.00,638.00,2451.00,1074.00,1377.00,160.00,1005.00,962.00,788.00,80.00,587.00,144.00,595.00,133.00,495.00,1007.00,663.00,833.00,9.00,2019.00
352, BRAILA,4389.00,1794.00,2595.00,513.00,3876.00,2.90,2.94,2.86,1147.00,539.00,608.00,3242.00,1255.00,1987.00,698.00,1056.00,1561.00,442.00,46.00,445.00,141.00,503.00,198.00,775.00,1251.00,642.00,1020.00,9.00,2019.00
353, BRASOV,5730.00,2649.00,3081.00,888.00,4842.00,2.90,2.94,2.86,1844.00,1001.00,843.00,3886.00,1648.00,2238.00,916.00,1318.00,1371.00,1127.00,51.00,626.00,321.00,1158.00,333.00,1113.00,1307.00,879.00,940.00,9.00,2019.00
354, BUZAU,11691.00,4908.00,6783.00,1219.00,10472.00,2.90,2.94,2.86,2190.00,1138.00,1052.00,9501.00,3770.00,5731.00,2225.00,2386.00,3713.00,1607.00,55.00,1576.00,129.00,1304.00,467.00,1928.00,3307.00,2092.00,2593.00,9.00,2019.00
355, CALARASI,3280.00,1575.00,1705.00,498.00,2782.00,2.90,2.94,2.86,779.00,394.00,385.00,2501.00,1181.00,1320.00,364.00,831.00,1063.00,585.00,26.00,356.00,55.00,498.00,135.00,629.00,821.00,539.00,658.00,9.00,2019.00
356, CARAS-SEVERIN,3398.00,1556.00,1842.00,960.00,2438.00,2.90,2.94,2.86,1422.00,658.00,764.00,1976.00,898.00,1078.00,538.00,392.00,704.00,1042.00,68.00,422.00,232.00,520.00,180.00,490.00,869.00,624.00,715.00,9.00,2019.00
357, CLUJ,4750.00,2510.00,2240.00,1289.00,3461.00,2.90,2.94,2.86,2132.00,1292.00,840.00,2618.00,1218.00,1400.00,861.00,640.00,946.00,1009.00,121.00,702.00,471.00,782.00,245.00,860.00,1150.00,915.00,798.00,9.00,2019.00
358, CONSTANTA,5791.00,3123.00,2668.00,1488.00,4303.00,2.90,2.94,2.86,2808.00,1678.00,1130.00,2983.00,1445.00,1538.00,927.00,337.00,1362.00,1873.00,92.00,794.00,406.00,1205.00,227.00,913.00,1327.00,951.00,1168.00,9.00,2019.00
359, COVASNA,2828.00,1315.00,1513.00,468.00,2360.00,2.90,2.94,2.86,876.00,451.00,425.00,1952.00,864.00,1088.00,414.00,909.00,590.00,562.00,29.00,249.00,75.00,779.00,179.00,532.00,612.00,336.00,390.00,9.00,2019.00
360, DAMBOVITA,6372.00,3091.00,3281.00,998.00,5374.00,2.90,2.94,2.86,1067.00,585.00,482.00,5305.00,2506.00,2799.00,820.00,1219.00,1923.00,1290.00,114.00,784.00,222.00,1686.00,238.00,815.00,1278.00,1004.00,1351.00,9.00,2019.00
361, DOLJ,18025.00,7538.00,10487.00,2025.00,16000.00,2.90,2.94,2.86,2746.00,1454.00,1292.00,15279.00,6084.00,9195.00,838.00,5823.00,4990.00,3971.00,94.00,1867.00,442.00,1861.00,898.00,3069.00,5208.00,3374.00,3615.00,9.00,2019.00
362, GALATI,11058.00,4866.00,6192.00,1207.00,9851.00,2.90,2.94,2.86,2134.00,1161.00,973.00,8924.00,3705.00,5219.00,1035.00,2033.00,4256.00,1799.00,147.00,1425.00,363.00,1397.00,342.00,1512.00,3173.00,2122.00,2512.00,9.00,2019.00
363, GIURGIU,1734.00,956.00,778.00,453.00,1281.00,2.90,2.94,2.86,502.00,293.00,209.00,1232.00,663.00,569.00,222.00,234.00,524.00,551.00,12.00,131.00,60.00,420.00,67.00,224.00,334.00,308.00,381.00,9.00,2019.00
364, GORJ,4731.00,2296.00,2435.00,1429.00,3302.00,2.90,2.94,2.86,1415.00,789.00,626.00,3316.00,1507.00,1809.00,282.00,271.00,1331.00,1506.00,136.00,867.00,338.00,814.00,179.00,686.00,1170.00,800.00,1082.00,9.00,2019.00
365, HARGHITA,4855.00,2243.00,2612.00,1092.00,3763.00,2.90,2.94,2.86,1590.00,836.00,754.00,3265.00,1407.00,1858.00,1088.00,1077.00,857.00,1008.00,67.00,530.00,228.00,1149.00,306.00,971.00,1164.00,633.00,632.00,9.00,2019.00
366, HUNEDOARA,5180.00,2750.00,2430.00,2467.00,2713.00,2.90,2.94,2.86,3531.00,1924.00,1607.00,1649.00,826.00,823.00,514.00,276.00,1154.00,1608.00,118.00,981.00,529.00,713.00,378.00,826.00,1488.00,985.00,790.00,9.00,2019.00
367, IALOMITA,4194.00,1947.00,2247.00,693.00,3501.00,2.90,2.94,2.86,1250.00,624.00,626.00,2944.00,1323.00,1621.00,282.00,1019.00,1377.00,763.00,43.00,639.00,71.00,508.00,167.00,670.00,1127.00,752.00,970.00,9.00,2019.00
368, IASI,8877.00,3978.00,4899.00,917.00,7960.00,2.90,2.94,2.86,1451.00,762.00,689.00,7426.00,3216.00,4210.00,611.00,1639.00,2827.00,1071.00,70.00,2307.00,352.00,1274.00,212.00,1224.00,2296.00,1674.00,2197.00,9.00,2019.00
369, ILFOV,849.00,456.00,393.00,292.00,557.00,2.90,2.94,2.86,227.00,122.00,105.00,622.00,334.00,288.00,90.00,235.00,128.00,254.00,4.00,65.00,73.00,191.00,40.00,143.00,227.00,116.00,132.00,9.00,2019.00
370, MARAMURES,5753.00,2916.00,2837.00,1343.00,4410.00,2.90,2.94,2.86,2699.00,1436.00,1263.00,3054.00,1480.00,1574.00,133.00,1980.00,901.00,1539.00,126.00,696.00,378.00,1889.00,313.00,840.00,1234.00,888.00,589.00,9.00,2019.00
371, MEHEDINTI,6961.00,2969.00,3992.00,990.00,5971.00,2.90,2.94,2.86,1488.00,735.00,753.00,5473.00,2234.00,3239.00,0.00,1516.00,3353.00,1098.00,57.00,828.00,109.00,549.00,205.00,1587.00,2423.00,1005.00,1192.00,9.00,2019.00
372, MURES,15418.00,8251.00,7167.00,1918.00,13500.00,2.90,2.94,2.86,1216.00,683.00,533.00,4790.00,2086.00,2704.00,26.00,134.00,2631.00,5274.00,288.00,2772.00,4293.00,324.00,1200.00,3718.00,4575.00,2984.00,2617.00,9.00,2019.00
373, NEAMT,6006.00,2769.00,3237.00,981.00,5025.00,2.90,2.94,2.86,1298.00,673.00,625.00,6279.00,2705.00,3574.00,1064.00,2018.00,1281.00,690.00,83.00,636.00,234.00,1095.00,391.00,1361.00,1511.00,756.00,892.00,9.00,2019.00
374, OLT,7577.00,3378.00,4199.00,1337.00,6240.00,2.90,2.94,2.86,1870.00,979.00,891.00,6891.00,2841.00,4050.00,1004.00,1140.00,2275.00,1184.00,85.00,1641.00,248.00,1182.00,328.00,1185.00,2010.00,1321.00,1551.00,9.00,2019.00
375, PRAHOVA,8761.00,3820.00,4941.00,949.00,7812.00,2.90,2.94,2.86,2387.00,1279.00,1108.00,4562.00,2139.00,2423.00,1786.00,765.00,2820.00,1858.00,42.00,1375.00,115.00,1148.00,321.00,1204.00,2469.00,1676.00,1943.00,9.00,2019.00
376, SALAJ,6949.00,3418.00,3531.00,2197.00,4752.00,2.90,2.94,2.86,895.00,512.00,383.00,3349.00,1351.00,1998.00,663.00,1295.00,1891.00,1432.00,103.00,1123.00,442.00,1045.00,247.00,1123.00,1927.00,1366.00,1241.00,9.00,2019.00
377, SATU MARE,4244.00,1863.00,2381.00,777.00,3467.00,2.90,2.94,2.86,677.00,349.00,328.00,2701.00,1189.00,1512.00,275.00,1102.00,1031.00,1115.00,52.00,470.00,199.00,842.00,288.00,877.00,974.00,633.00,630.00,9.00,2019.00
378, SIBIU,3378.00,1538.00,1840.00,356.00,3022.00,2.90,2.94,2.86,1089.00,556.00,533.00,2140.00,998.00,1142.00,379.00,1588.00,819.00,269.00,18.00,211.00,94.00,510.00,209.00,790.00,925.00,459.00,485.00,9.00,2019.00
379, SUCEAVA,3229.00,1554.00,1675.00,875.00,2354.00,2.90,2.94,2.86,3226.00,1693.00,1533.00,8177.00,3656.00,4521.00,343.00,885.00,758.00,590.00,27.00,383.00,243.00,492.00,181.00,570.00,822.00,523.00,641.00,9.00,2019.00
380, TELEORMAN,11403.00,5349.00,6054.00,2653.00,8750.00,2.90,2.94,2.86,2136.00,1039.00,1097.00,7173.00,2913.00,4260.00,510.00,2296.00,2796.00,3252.00,159.00,1960.00,430.00,2998.00,608.00,1846.00,2730.00,1435.00,1786.00,9.00,2019.00
381, TIMIS,9309.00,3952.00,5357.00,1272.00,8037.00,2.90,2.94,2.86,1582.00,919.00,663.00,1607.00,888.00,719.00,372.00,1124.00,4969.00,1481.00,29.00,1233.00,101.00,1104.00,482.00,1578.00,2483.00,1813.00,1849.00,9.00,2019.00
382, TULCEA,3189.00,1807.00,1382.00,1660.00,1529.00,2.90,2.94,2.86,710.00,411.00,299.00,1934.00,921.00,1013.00,365.00,159.00,452.00,1119.00,69.00,516.00,509.00,528.00,190.00,532.00,794.00,580.00,565.00,9.00,2019.00
383, VALCEA,2644.00,1332.00,1312.00,504.00,2140.00,2.90,2.94,2.86,1992.00,1022.00,970.00,3285.00,1553.00,1732.00,0.00,452.00,1297.00,530.00,0.00,315.00,50.00,450.00,131.00,387.00,668.00,545.00,463.00,9.00,2019.00
384, VASLUI,5277.00,2575.00,2702.00,1694.00,3583.00,2.90,2.94,2.86,1312.00,676.00,636.00,8997.00,3568.00,5429.00,217.00,604.00,1248.00,2056.00,103.00,656.00,393.00,1380.00,268.00,767.00,1219.00,909.00,734.00,9.00,2019.00
385, VRANCEA,10309.00,4244.00,6065.00,922.00,9387.00,2.90,2.94,2.86,1097.00,562.00,535.00,4133.00,1782.00,2351.00,426.00,1968.00,3788.00,995.00,36.00,3008.00,88.00,678.00,288.00,1648.00,3443.00,2053.00,2199.00,9.00,2019.00
386,BUCURESTI,5230.00,2344.00,2886.00,791.00,4439.00,2.90,2.94,2.86,15418.00,8251.00,7167.00,0.00,0.00,0.00,376.00,1309.00,1672.00,1140.00,62.00,523.00,148.00,920.00,239.00,768.00,1230.00,936.00,1137.00,9.00,2019.00
387,Total TARA ,260635.00,121054.00,139581.00,48904.00,211731.00,2.90,2.94,2.86,80720.00,42810.00,37910.00,179915.00,78244.00,101671.00,24455.00,48154.00,75311.00,55410.00,3078.00,38075.00,16152.00,40027.00,12559.00,43937.00,68909.00,45242.00,49961.00,9.00,2019.00
388, ALBA,5064.00,2364.00,2700.00,1419.00,3645.00,3.01,3.05,2.98,1842.00,983.00,859.00,3222.00,1381.00,1841.00,638.00,725.00,1467.00,1050.00,58.00,834.00,292.00,764.00,312.00,1018.00,1266.00,837.00,867.00,10.00,2019.00
389, ARAD,3193.00,1685.00,1508.00,727.00,2466.00,3.01,3.05,2.98,1428.00,775.00,653.00,1765.00,910.00,855.00,342.00,543.00,522.00,1281.00,26.00,272.00,207.00,1287.00,98.00,291.00,590.00,429.00,498.00,10.00,2019.00
390, ARGES,7544.00,3563.00,3981.00,1950.00,5594.00,3.01,3.05,2.98,1322.00,727.00,595.00,6222.00,2836.00,3386.00,648.00,1738.00,2293.00,1340.00,98.00,1069.00,358.00,934.00,393.00,1401.00,2036.00,1396.00,1384.00,10.00,2019.00
391, BACAU,10808.00,4456.00,6352.00,1647.00,9161.00,3.01,3.05,2.98,2394.00,917.00,1477.00,8414.00,3539.00,4875.00,1605.00,1195.00,3610.00,2769.00,92.00,1218.00,319.00,1306.00,596.00,1704.00,2632.00,2092.00,2478.00,10.00,2019.00
392, BIHOR,3330.00,1815.00,1515.00,1451.00,1879.00,3.01,3.05,2.98,1165.00,684.00,481.00,2165.00,1131.00,1034.00,181.00,541.00,610.00,1036.00,78.00,450.00,434.00,551.00,171.00,542.00,834.00,627.00,605.00,10.00,2019.00
393, BISTRITA-NASAUD,3337.00,1763.00,1574.00,1338.00,1999.00,3.01,3.05,2.98,1049.00,615.00,434.00,2288.00,1148.00,1140.00,181.00,286.00,978.00,1031.00,59.00,564.00,238.00,575.00,203.00,596.00,767.00,590.00,606.00,10.00,2019.00
394, BOTOSANI,3633.00,1685.00,1948.00,793.00,2840.00,3.01,3.05,2.98,1274.00,645.00,629.00,2359.00,1040.00,1319.00,167.00,953.00,967.00,713.00,84.00,592.00,157.00,547.00,124.00,497.00,986.00,665.00,814.00,10.00,2019.00
395, BRAILA,4299.00,1774.00,2525.00,488.00,3811.00,3.01,3.05,2.98,1092.00,541.00,551.00,3207.00,1233.00,1974.00,702.00,1063.00,1497.00,414.00,50.00,434.00,139.00,497.00,202.00,757.00,1219.00,627.00,997.00,10.00,2019.00
396, BRASOV,5631.00,2597.00,3034.00,903.00,4728.00,3.01,3.05,2.98,1742.00,961.00,781.00,3889.00,1636.00,2253.00,1080.00,1272.00,1300.00,1004.00,61.00,591.00,323.00,1071.00,341.00,1117.00,1306.00,864.00,932.00,10.00,2019.00
397, BUZAU,11532.00,4860.00,6672.00,1219.00,10313.00,3.01,3.05,2.98,2151.00,1114.00,1037.00,9381.00,3746.00,5635.00,2237.00,2359.00,3660.00,1521.00,72.00,1532.00,151.00,1269.00,466.00,1920.00,3268.00,2063.00,2546.00,10.00,2019.00
398, CALARASI,3309.00,1605.00,1704.00,493.00,2816.00,3.01,3.05,2.98,804.00,412.00,392.00,2505.00,1193.00,1312.00,366.00,838.00,1023.00,638.00,31.00,359.00,54.00,481.00,131.00,657.00,831.00,551.00,658.00,10.00,2019.00
399, CARAS-SEVERIN,3389.00,1563.00,1826.00,1027.00,2362.00,3.01,3.05,2.98,1425.00,657.00,768.00,1964.00,906.00,1058.00,534.00,398.00,716.00,1012.00,64.00,437.00,228.00,518.00,170.00,506.00,869.00,643.00,683.00,10.00,2019.00
400, CLUJ,4599.00,2470.00,2129.00,1337.00,3262.00,3.01,3.05,2.98,2121.00,1317.00,804.00,2478.00,1153.00,1325.00,853.00,491.00,973.00,991.00,118.00,723.00,450.00,700.00,253.00,857.00,1128.00,914.00,747.00,10.00,2019.00
401, CONSTANTA,6836.00,4098.00,2738.00,2516.00,4320.00,3.01,3.05,2.98,3456.00,2296.00,1160.00,3380.00,1802.00,1578.00,919.00,663.00,1623.00,2171.00,112.00,930.00,418.00,1239.00,249.00,1085.00,1667.00,1240.00,1356.00,10.00,2019.00
402, COVASNA,2829.00,1302.00,1527.00,507.00,2322.00,3.01,3.05,2.98,863.00,438.00,425.00,1966.00,864.00,1102.00,433.00,966.00,566.00,523.00,24.00,239.00,78.00,752.00,184.00,533.00,642.00,323.00,395.00,10.00,2019.00
403, DAMBOVITA,6676.00,3250.00,3426.00,984.00,5692.00,3.01,3.05,2.98,1119.00,595.00,524.00,5557.00,2655.00,2902.00,799.00,930.00,1967.00,1600.00,139.00,924.00,317.00,1757.00,253.00,856.00,1342.00,1041.00,1427.00,10.00,2019.00
404, DOLJ,17887.00,7520.00,10367.00,2049.00,15838.00,3.01,3.05,2.98,2688.00,1437.00,1251.00,15199.00,6083.00,9116.00,837.00,5826.00,4897.00,3866.00,122.00,1877.00,462.00,1846.00,923.00,3054.00,5151.00,3360.00,3553.00,10.00,2019.00
405, GALATI,10624.00,4708.00,5916.00,1177.00,9447.00,3.01,3.05,2.98,2033.00,1109.00,924.00,8591.00,3599.00,4992.00,985.00,1962.00,4063.00,1733.00,109.00,1388.00,384.00,1368.00,373.00,1469.00,3063.00,2037.00,2314.00,10.00,2019.00
406, GIURGIU,1720.00,949.00,771.00,445.00,1275.00,3.01,3.05,2.98,448.00,271.00,177.00,1272.00,678.00,594.00,226.00,259.00,571.00,475.00,9.00,128.00,52.00,360.00,58.00,237.00,352.00,329.00,384.00,10.00,2019.00
407, GORJ,4721.00,2292.00,2429.00,1417.00,3304.00,3.01,3.05,2.98,1420.00,802.00,618.00,3301.00,1490.00,1811.00,265.00,275.00,1388.00,1402.00,144.00,922.00,325.00,742.00,169.00,738.00,1210.00,813.00,1049.00,10.00,2019.00
408, HARGHITA,5111.00,2345.00,2766.00,1141.00,3970.00,3.01,3.05,2.98,1582.00,825.00,757.00,3529.00,1520.00,2009.00,1210.00,1210.00,911.00,955.00,78.00,519.00,228.00,1123.00,320.00,1098.00,1205.00,685.00,680.00,10.00,2019.00
409, HUNEDOARA,5040.00,2689.00,2351.00,2450.00,2590.00,3.01,3.05,2.98,3487.00,1929.00,1558.00,1553.00,760.00,793.00,380.00,410.00,1154.00,1468.00,118.00,981.00,529.00,662.00,392.00,788.00,1401.00,1007.00,790.00,10.00,2019.00
410, IALOMITA,4023.00,1840.00,2183.00,707.00,3316.00,3.01,3.05,2.98,1226.00,590.00,636.00,2797.00,1250.00,1547.00,269.00,984.00,1321.00,709.00,41.00,628.00,71.00,480.00,160.00,654.00,1077.00,740.00,912.00,10.00,2019.00
411, IASI,8553.00,3934.00,4619.00,991.00,7562.00,3.01,3.05,2.98,1382.00,763.00,619.00,7171.00,3171.00,4000.00,599.00,1563.00,2703.00,997.00,84.00,2256.00,351.00,1281.00,189.00,1147.00,2192.00,1609.00,2135.00,10.00,2019.00
412, ILFOV,850.00,471.00,379.00,315.00,535.00,3.01,3.05,2.98,246.00,135.00,111.00,604.00,336.00,268.00,94.00,231.00,141.00,241.00,3.00,68.00,72.00,200.00,36.00,140.00,223.00,121.00,130.00,10.00,2019.00
